name,manaCost,types,subtypes,supertypes,power,toughness,text,keywords,colors,rarity,setCode,layout
Dragonfly Swarm,{1}{U}{R},Creature,"Dragon, Insect",,*,3,"Flying, ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
This creature's power is equal to the number of noncreature, nonland cards in your graveyard.
When this creature dies, if there's a Lesson card in your graveyard, draw a card.","Flying, Ward","U, R",uncommon,TLA,normal
Dramatic Reversal,{1}{U},Instant,,,,,Untap all nonland permanents you control.,,U,common,TLE,normal
Drannith Magistrate,{1}{W},Creature,"Human, Wizard",,1,3,Your opponents can't cast spells from anywhere other than their hands.,,W,mythic,TLE,normal
Duelist's Heritage,{2}{W},Enchantment,,,,,"Whenever one or more creatures attack, you may have target attacking creature gain double strike until end of turn.",,W,rare,TLE,normal
Dutiful Knowledge Seeker,{2}{U},Creature,"Fox, Spirit",,2,2,"Whenever one or more cards are put into a library from anywhere, put a +1/+1 counter on this creature.
{3}: Put target card from a graveyard on the bottom of its owner's library.",,U,uncommon,TLE,normal
Earth King's Lieutenant,{G}{W},Creature,"Human, Soldier, Ally",,1,1,"Trample
When this creature enters, put a +1/+1 counter on each other Ally creature you control.
Whenever another Ally you control enters, put a +1/+1 counter on this creature.",Trample,"W, G",rare,TLA,normal
Earth Kingdom General,{3}{G},Creature,"Human, Soldier, Ally",,2,2,"When this creature enters, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever you put one or more +1/+1 counters on a creature, you may gain that much life. Do this only once each turn.",Earthbend,G,uncommon,TLA,normal
Earth Kingdom Jailer,{2}{W},Creature,"Human, Soldier, Ally",,3,3,"When this creature enters, exile up to one target artifact, creature, or enchantment an opponent controls with mana value 3 or greater until this creature leaves the battlefield.",,W,uncommon,TLA,normal
Earth Kingdom Protectors,{W},Creature,"Human, Soldier, Ally",,1,1,"Vigilance
Sacrifice this creature: Another target Ally you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Vigilance,W,uncommon,TLA,normal
Earth Kingdom Soldier,{4}{G/W},Creature,"Human, Soldier",,3,4,"Vigilance
When this creature enters, put a +1/+1 counter on each of up to two target creatures you control.",Vigilance,"W, G",common,TLA,normal
Earth Rumble,{3}{G},Sorcery,,,,,"Earthbend 2. When you do, up to one target creature you control fights target creature an opponent controls. (To earthbend 2, target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped. Creatures that fight each deal damage equal to their power to the other.)","Fight, Earthbend",G,uncommon,TLA,normal
Earth Rumble Wrestlers,{3}{R/G},Creature,"Human, Warrior, Performer",,3,4,"Reach
This creature gets +1/+0 and has trample as long as you control a land creature or a land entered the battlefield under your control this turn.",Reach,"R, G",common,TLA,normal
Earth Village Ruffians,{2}{B/G},Creature,"Human, Soldier, Rogue",,3,1,"When this creature dies, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,"B, G",common,TLA,normal
Earthbender Ascension,{2}{G},Enchantment,,,,,"When this enchantment enters, earthbend 2. Then search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Landfall — Whenever a land you control enters, put a quest counter on this enchantment. When you do, if it has four or more quest counters on it, put a +1/+1 counter on target creature you control. It gains trample until end of turn.","Earthbend, Landfall",G,rare,TLA,normal
Earthbending Lesson,{3}{G},Sorcery,Lesson,,,,"Earthbend 4. (Target land you control becomes a 0/0 creature with haste that's still a land. Put four +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,G,common,TLA,normal
Earthbending Student,{2}{G},Creature,"Human, Warrior, Ally",,1,3,"When this creature enters, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
Land creatures you control have vigilance. (Attacking doesn't cause them to tap.)",Earthbend,G,uncommon,TLE,normal
Earthen Ally,{G},Creature,"Human, Soldier, Ally",,0,2,"This creature gets +1/+0 for each color among Allies you control.
{2}{W}{U}{B}{R}{G}: Earthbend 5. (Target land you control becomes a 0/0 creature with haste that's still a land. Put five +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,G,rare,TLA,normal
Earthshape,{2}{W},Instant,,,,,Earthbend 3. Then each creature you control with power less than or equal to that land's power gains hexproof and indestructible until end of turn. You gain hexproof until end of turn.,Earthbend,W,rare,TLE,normal
Eel-Hounds,{3}{G},Creature,"Fish, Dog",,4,2,"Trample (This creature can deal excess combat damage to the player it's attacking.)
Whenever this creature attacks, another target creature you control gets +2/+2 and gains trample until end of turn.",Trample,G,uncommon,TLE,normal
Eladamri's Call,{G}{W},Instant,,,,,"Search your library for a creature card, reveal that card, put it into your hand, then shuffle.",,"W, G",mythic,TLE,normal
Elemental Bond,{2}{G},Enchantment,,,,,"Whenever a creature you control with power 3 or greater enters, draw a card.",,G,mythic,TLE,normal
Elemental Teachings,{4}{G},Instant,Lesson,,,,"Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest onto the battlefield tapped, then shuffle.",,G,rare,TLA,normal
Elephant-Mandrill,{2}{G},Creature,"Elephant, Monkey",,3,2,"Reach
When this creature enters, each player creates a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
At the beginning of combat on your turn, this creature gets +1/+1 until end of turn for each artifact your opponents control.","Reach, Food",G,uncommon,TLE,normal
Elephant-Rat,{1}{B},Creature,"Elephant, Rat",,1,3,Menace (This creature can't be blocked except by two or more creatures.),Menace,B,common,TLE,normal
Ember Island Production,{3}{U}{U},Sorcery,,,,,"Choose one—
• Create a token that's a copy of target creature you control, except it's not legendary and it's a 4/4 Hero in addition to its other types.
• Create a token that's a copy of target creature an opponent controls, except it's not legendary and it's a 2/2 Coward in addition to its other types.",,U,uncommon,TLA,normal
Empty City Ruse,{W},Sorcery,,,,,Target opponent skips all combat phases of their next turn.,,W,mythic,TLE,normal
Energybending,{2},Instant,Lesson,,,,"Lands you control gain all basic land types until end of turn.
Draw a card.",,,uncommon,TLA,normal
Enlightened Tutor,{W},Instant,,,,,"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.",,W,rare,TLE,normal
Enter the Avatar State,{W},Instant,Lesson,,,,"Until end of turn, target creature you control becomes an Avatar in addition to its other types and gains flying, first strike, lifelink, and hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)","Lifelink, First strike",W,uncommon,TLA,normal
Entomb,{B},Instant,,,,,"Search your library for a card, put that card into your graveyard, then shuffle.",,B,rare,TLE,normal
Epic Downfall,{1}{B},Sorcery,,,,,Exile target creature with mana value 3 or greater.,,B,uncommon,TLA,normal
Explore,{1}{G},Sorcery,,,,,"You may play an additional land this turn.
Draw a card.",,G,common,TLE,normal
Explosive Shot,{1}{R},Sorcery,,,,,Explosive Shot deals 4 damage to target creature.,,R,common,TLE,normal
Fabled Passage,,Land,,,,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",,,mythic,TLE,normal
Fancy Footwork,{2}{W},Instant,Lesson,,,,Untap one or two target creatures. They each get +2/+2 until end of turn.,,W,uncommon,TLA,normal
"Fang, Roku's Companion",{3}{R}{R},Creature,Dragon,Legendary,4,4,"Flying
Whenever Fang attacks, another target legendary creature you control gets +X/+0 until end of turn, where X is Fang's power.
When Fang dies, if he wasn't a Spirit, return this card to the battlefield under your control. He's a Spirit in addition to his other types.",Flying,R,rare,TLE,normal
Fatal Fissure,{1}{B},Instant,,,,,"Choose target creature. When that creature dies this turn, you earthbend 4. (Target land you control becomes a 0/0 creature with haste that's still a land. Put four +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,B,uncommon,TLA,normal
Fated Firepower,{X}{R}{R}{R},Enchantment,,,,,"Flash
This enchantment enters with X fire counters on it.
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus an amount of damage equal to the number of fire counters on this enchantment instead.",Flash,R,mythic,TLA,normal
Feed the Swarm,{1}{B},Sorcery,,,,,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,,B,common,TLE,normal
Fervor,{2}{R},Enchantment,,,,,Creatures you control have haste. (They can attack and {T} as soon as they come under your control.),,R,mythic,TLE,normal
Fevered Visions,{1}{U}{R},Enchantment,,,,,"At the beginning of each player's end step, that player draws a card. If the player is your opponent and has four or more cards in hand, this enchantment deals 2 damage to that player.",,"U, R",mythic,TLE,normal
Fierce Guardianship,{2}{U},Instant,,,,,"If you control a commander, you may cast this spell without paying its mana cost.
Counter target noncreature spell.",,U,rare,TLE,normal
Fiery Confluence,{2}{R}{R},Sorcery,,,,,"Choose three. You may choose the same mode more than once.
• Fiery Confluence deals 1 damage to each creature.
• Fiery Confluence deals 2 damage to each opponent.
• Destroy target artifact.",,R,rare,TLE,normal
Fire Lord Azula,{1}{U}{B}{R},Creature,"Human, Noble",Legendary,4,4,"Firebending 2 (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
Whenever you cast a spell while Fire Lord Azula is attacking, copy that spell. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",Firebending,"U, B, R",rare,TLA,normal
Fire Lord Ozai,{3}{B},Creature,"Human, Noble",Legendary,4,4,"Whenever Fire Lord Ozai attacks, you may sacrifice another creature. If you do, add an amount of {R} equal to the sacrificed creature's power. Until end of combat, you don't lose this mana as steps end.
{6}: Exile the top card of each opponent's library. Until end of turn, you may play one of those cards without paying its mana cost.",,B,mythic,TLE,normal
Fire Lord Zuko,{R}{W}{B},Creature,"Human, Noble, Ally",Legendary,2,4,"Firebending X, where X is Fire Lord Zuko's power. (Whenever this creature attacks, add X {R}. This mana lasts until end of combat.)
Whenever you cast a spell from exile and whenever a permanent you control enters from exile, put a +1/+1 counter on each creature you control.",Firebending,"W, B, R",rare,TLA,normal
Fire Nation Ambushers,{2}{B},Creature,"Human, Soldier",,3,2,Flash (You may cast this spell any time you could cast an instant.),Flash,B,common,TLE,normal
Fire Nation Archers,{3}{R},Creature,"Human, Archer",,3,4,"Reach (This creature can block creatures with flying.)
{5}: This creature deals 2 damage to each opponent. Create a 2/2 red Soldier creature token.",Reach,R,rare,TLE,normal
Fire Nation Attacks,{4}{R},Instant,,,,,"Create two 2/2 red Soldier creature tokens with firebending 1. (Whenever a creature with firebending 1 attacks, add {R}. This mana lasts until end of combat.)
Flashback {8}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Flashback,R,uncommon,TLA,normal
Fire Nation Cadets,{R},Creature,"Human, Soldier",,1,2,"This creature has firebending 2 as long as there's a Lesson card in your graveyard. (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
{2}: This creature gets +1/+0 until end of turn.",,R,common,TLA,normal
Fire Nation Engineer,{2}{B},Creature,"Human, Artificer",,2,3,"Raid — At the beginning of your end step, if you attacked this turn, put a +1/+1 counter on another target creature or Vehicle you control.",Raid,B,uncommon,TLA,normal
Fire Nation Occupation,{2}{B},Enchantment,,,,,"When this enchantment enters, create a 2/2 red Soldier creature token with firebending 1. (Whenever it attacks, add {R}. This mana lasts until end of combat.)
Whenever you cast a spell during an opponent's turn, create a 2/2 red Soldier creature token with firebending 1.",,B,rare,TLE,normal
Fire Nation Palace,,Land,,,,,"This land enters tapped unless you control a basic land.
{T}: Add {R}.
{1}{R}, {T}: Target creature you control gains firebending 4 until end of turn. (Whenever it attacks, add {R}{R}{R}{R}. This mana lasts until end of combat.)",,,rare,TLA,normal
Fire Nation Raider,{3}{R},Creature,"Human, Soldier",,4,2,"Raid — When this creature enters, if you attacked this turn, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Raid,R,common,TLA,normal
Fire Nation Salvagers,{3}{B}{B},Creature,"Human, Soldier",,3,3,"Menace
When this creature enters, put a +1/+1 counter on target creature or Vehicle you control.
Whenever one or more creatures you control with counters on them deal combat damage to a player, put target creature or Vehicle card from that player's graveyard onto the battlefield under your control.",Menace,B,rare,TLE,normal
Fire Nation Sentinels,{3}{B}{B},Creature,"Human, Soldier",,4,4,"Whenever a nontoken creature an opponent controls dies, put a +1/+1 counter on each creature you control.",,B,rare,TLE,normal
Fire Nation Soldier,{2}{R},Creature,"Human, Soldier",,3,2,Haste (This creature can attack and {T} as soon as it comes under your control.),Haste,R,common,TLE,normal
Fire Nation Turret,{2}{R},Artifact,,,,,"At the beginning of combat on your turn, up to one target creature gets +2/+0 and gains firebending 2 until end of turn.
{R}: Put a charge counter on this artifact.
Remove fifty charge counters from this artifact: It deals 50 damage to any target.",,R,rare,TLE,normal
Fire Nation Warship,{3},Artifact,Vehicle,,4,4,"Reach
When this Vehicle dies, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)","Reach, Crew",,uncommon,TLA,normal
Fire Nation's Conquest,{2}{R},Enchantment,,,,,Creatures you control get +1/+0.,,R,uncommon,TLE,normal
Fire Navy Trebuchet,{2}{B},"Artifact, Creature",Wall,,0,4,"Defender, reach
Whenever you attack, create a 2/1 colorless Construct artifact creature token with flying named Ballistic Boulder that's tapped and attacking. Sacrifice that token at the beginning of the next end step.","Reach, Defender",B,uncommon,TLA,normal
Fire Sages,{1}{R},Creature,"Human, Cleric",,2,2,"Firebending 1 (Whenever this creature attacks, add {R}. This mana lasts until end of combat.)
{1}{R}{R}: Put a +1/+1 counter on this creature.",Firebending,R,uncommon,TLA,normal
Firebender Ascension,{1}{R},Enchantment,,,,,"When this enchantment enters, create a 2/2 red Soldier creature token with firebending 1.
Whenever a creature you control attacking causes a triggered ability of that creature to trigger, put a quest counter on this enchantment. Then if it has four or more quest counters on it, you may copy that ability. You may choose new targets for the copy.",,R,rare,TLA,normal
Firebending Lesson,{R},Instant,Lesson,,,,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Firebending Lesson deals 2 damage to target creature. If this spell was kicked, it deals 5 damage to that creature instead.",Kicker,R,common,TLA,normal
Firebending Student,{1}{R},Creature,"Human, Monk",,1,2,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Firebending X, where X is this creature's power. (Whenever this creature attacks, add X {R}. This mana lasts until end of combat.)","Prowess, Firebending",R,rare,TLA,normal
First-Time Flyer,{1}{U},Creature,"Human, Pilot, Ally",,1,2,"Flying
This creature gets +1/+1 as long as there's a Lesson card in your graveyard.",Flying,U,common,TLA,normal
Fists of Flame,{1}{R},Instant,,,,,"Draw a card. Until end of turn, target creature gains trample and gets +1/+0 for each card you've drawn this turn. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.)",,R,common,TLE,normal
Flawless Maneuver,{2}{W},Instant,,,,,"If you control a commander, you may cast this spell without paying its mana cost.
Creatures you control gain indestructible until end of turn.",,W,rare,TLE,normal
Flexible Waterbender,{3}{U},Creature,"Human, Warrior, Ally",,2,5,"Vigilance
Waterbend {3}: This creature has base power and toughness 5/2 until end of turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)","Vigilance, Waterbend",U,common,TLA,normal
"Flopsie, Bumi's Buddy",{4}{G}{G},Creature,"Ape, Goat",Legendary,4,4,"When Flopsie enters, put a +1/+1 counter on each creature you control.
Each creature you control with power 4 or greater can't be blocked by more than one creature.",,G,uncommon,TLA,normal
Flying Dolphin-Fish,{1}{U},Creature,"Whale, Fish",,1,3,Flying (This creature can't be blocked except by creatures with flying or reach.),Flying,U,common,TLE,normal
Foggy Bottom Swamp,,Land,,,,,"This land enters tapped.
{T}: Add {B} or {G}.
{4}, {T}, Sacrifice this land: Draw a card.",,,common,TLA,normal
Foggy Swamp Hunters,{3}{B},Creature,"Human, Ranger, Ally",,3,4,"As long as you've drawn two or more cards this turn, this creature has lifelink and menace. (It can't be blocked except by two or more creatures.)",,B,common,TLA,normal
Foggy Swamp Spirit Keeper,{1}{U}{B},Creature,"Human, Druid, Ally",,2,4,"Lifelink
Whenever you draw your second card each turn, create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""",Lifelink,"U, B",uncommon,TLA,normal
Foggy Swamp Vinebender,{3}{G},Creature,"Human, Plant, Ally",,4,3,"This creature can't be blocked by creatures with power 2 or less.
Waterbend {5}: Put a +1/+1 counter on this creature. Activate only during your turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",Waterbend,G,common,TLA,normal
Foggy Swamp Visions,{1}{B}{B},Sorcery,,,,,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Exile X target creature cards from graveyards. For each creature card exiled this way, create a token that's a copy of it. At the beginning of your next end step, sacrifice those tokens.",Waterbend,B,rare,TLA,normal
Force of Negation,{1}{U}{U},Instant,,,,,"If it's not your turn, you may exile a blue card from your hand rather than pay this spell's mana cost.
Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",,U,mythic,TLE,normal
Forecasting Fortune Teller,{1}{U},Creature,"Human, Advisor, Ally",,1,3,"When this creature enters, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,U,common,TLA,normal
Forest,,Land,Forest,Basic,,,({T}: Add {G}.),,,common,TLA,normal
Founding of Omashu,{2}{R},Enchantment,Saga,,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Create two 1/1 white Ally creature tokens.
II — You may discard a card. If you do, draw a card.
III — Creatures you control get +1/+0 until end of turn.",,R,uncommon,TLE,saga
Frantic Confrontation,{X}{R},Instant,,,,,Target creature you control gets +X/+0 and gains first strike and trample until end of turn.,,R,uncommon,TLE,normal
Frantic Search,{2}{U},Instant,,,,,"Draw two cards, then discard two cards. Untap up to three lands.",,U,common,TLE,normal
Freedom Fighter Recruit,{1}{R},Creature,"Human, Rebel, Ally",,*,2,Freedom Fighter Recruit's power is equal to the number of creatures you control.,,R,common,TLE,normal
Frog-Squirrels,{1}{G},Creature,"Frog, Squirrel",,2,2,Reach (This creature can block creatures with flying.),Reach,G,common,TLE,normal
Gamble,{R},Sorcery,,,,,"Search your library for a card, put that card into your hand, discard a card at random, then shuffle.",,R,rare,TLE,normal
Gather the White Lotus,{4}{W},Sorcery,,,,,"Create a 1/1 white Ally creature token for each Plains you control. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",Scry,W,uncommon,TLA,normal
Geyser Leaper,{4}{U},Creature,"Human, Warrior, Ally",,4,3,"Flying
Waterbend {4}: Draw a card, then discard a card. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)","Flying, Waterbend",U,common,TLA,normal
Giant Fly,{2}{B},Creature,Insect,,2,2,"Flying
Whenever you sacrifice another permanent, this creature gets +1/+0 until end of turn.",Flying,B,common,TLE,normal
Giant Koi,{4}{U}{U},Creature,Fish,,5,7,"Waterbend {3}: This creature can't be blocked this turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)","Islandcycling, Landcycling, Typecycling, Waterbend, Cycling",U,common,TLA,normal
Gilacorn,{B},Creature,Lizard,,1,1,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),Deathtouch,B,common,TLE,normal
Glider Kids,{2}{W},Creature,"Human, Pilot, Ally",,2,3,"Flying
When this creature enters, scry 1. (Look at the top card of your library. You may put it on the bottom.)","Scry, Flying",W,common,TLA,normal
Glider Staff,{2}{W},Artifact,Equipment,,,,"When this Equipment enters, airbend up to one target creature. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Equipped creature gets +1/+1 and has flying.
Equip {2}","Airbend, Equip",W,uncommon,TLA,normal
Gran-Gran,{U},Creature,"Human, Peasant, Ally",Legendary,1,2,"Whenever Gran-Gran becomes tapped, draw a card, then discard a card.
Noncreature spells you cast cost {1} less to cast as long as there are three or more Lesson cards in your graveyard.",,U,uncommon,TLA,normal
Great Divide Guide,{1}{G},Creature,"Human, Scout, Ally",,2,3,"Each land and Ally you control has ""{T}: Add one mana of any color.""",,G,rare,TLA,normal
Guru Pathik,{2}{G/U}{G/U},Creature,"Human, Monk, Ally",Legendary,2,4,"When Guru Pathik enters, look at the top five cards of your library. You may reveal a Lesson, Saga, or Shrine card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Whenever you cast a Lesson, Saga, or Shrine spell, put a +1/+1 counter on another target creature you control.",,"U, G",uncommon,TLA,normal
"Hakoda, Selfless Commander",{3}{W},Creature,"Human, Warrior, Ally",Legendary,3,5,"Vigilance
You may look at the top card of your library any time.
You may cast Ally spells from the top of your library.
Sacrifice Hakoda: Creatures you control get +0/+5 and gain indestructible until end of turn.",Vigilance,W,rare,TLA,normal
"Hama, the Bloodbender",{2}{U/B}{U/B}{U/B},Creature,"Human, Warlock",Legendary,3,3,"When Hama enters, target opponent mills three cards. Exile up to one noncreature, nonland card from that player's graveyard. For as long as you control Hama, you may cast the exiled card during your turn by waterbending {X} rather than paying its mana cost, where X is its mana value. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)","Mill, Waterbend","U, B",uncommon,TLA,normal
"Haru, Hidden Talent",{1}{G},Creature,"Human, Peasant, Ally",Legendary,1,1,"Whenever another Ally you control enters, earthbend 1. (Target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,G,uncommon,TLA,normal
Heartbeat of Spring,{2}{G},Enchantment,,,,,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced.",,G,mythic,TLE,normal
Heartless Act,{1}{B},Instant,,,,,"Choose one —
• Destroy target creature with no counters on it.
• Remove up to three counters from target creature.",,B,uncommon,TLA,normal
"Hei Bai, Forest Guardian",{3}{G},Creature,"Bear, Spirit",Legendary,4,4,"When Hei Bai enters, reveal cards from the top of your library until you reveal a Shrine card. You may put that card onto the battlefield. Then shuffle.
{W}{U}{B}{R}{G}, {T}: For each legendary enchantment you control, create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""",,G,mythic,TLE,normal
"Hei Bai, Spirit of Balance",{2}{W/B}{W/B},Creature,"Bear, Spirit",Legendary,3,3,"Whenever Hei Bai enters or attacks, you may sacrifice another creature or artifact. If you do, put two +1/+1 counters on Hei Bai.
When Hei Bai leaves the battlefield, put its counters on target creature you control.",,"W, B",uncommon,TLA,normal
Hermitic Herbalist,{G}{U},Creature,"Human, Druid, Ally",,2,3,"{T}: Add one mana of any color.
{T}: Add two mana in any combination of colors. Spend this mana only to cast Lesson spells.",,"U, G",uncommon,TLA,normal
Heroic Intervention,{1}{G},Instant,,,,,Permanents you control gain hexproof and indestructible until end of turn.,,G,mythic,TLE,normal
Hippo-Cows,{4}{G},Creature,"Hippo, Ox",,5,4,Trample (This creature can deal excess combat damage to the player it's attacking.),Trample,G,common,TLE,normal
Hog-Monkey,{2}{B},Creature,"Boar, Monkey",,3,2,"At the beginning of combat on your turn, target creature you control with a +1/+1 counter on it gains menace until end of turn. (It can't be blocked except by two or more creatures.)
Exhaust — {5}: Put two +1/+1 counters on this creature. (Activate each exhaust ability only once.)",Exhaust,B,common,TLA,normal
Hog-Monkey Rampage,{1}{R/G},Instant,,,,,Choose target creature you control and target creature an opponent controls. Put a +1/+1 counter on the creature you control if it has power 4 or greater. Then those creatures fight each other. (Each deals damage equal to its power to the other.),Fight,"R, G",uncommon,TLE,normal
Honest Work,{U},Enchantment,Aura,,,,"Enchant creature an opponent controls
When this Aura enters, tap enchanted creature and remove all counters from it.
Enchanted creature loses all abilities and is a Citizen with base power and toughness 1/1 and ""{T}: Add {C}"" named Humble Merchant. (It loses all other creature types and names.)",Enchant,U,uncommon,TLA,normal
Hook Swords,{2}{R/W},Artifact,Equipment,,,,"When this Equipment enters, create a 1/1 white Ally creature token, then attach this Equipment to it.
During your turn, equipped creature gets +1/+1 and has first strike.
Equip {3}",Equip,"W, R",uncommon,TLE,normal
How to Start a Riot,{2}{R},Instant,Lesson,,,,"Target creature gains menace until end of turn. (It can't be blocked except by two or more creatures.)
Creatures target player controls get +2/+0 until end of turn.",,R,common,TLA,normal
Humble Defector,{1}{R},Creature,"Human, Rogue",,2,1,{T}: Draw two cards. Target opponent gains control of this creature. Activate only during your turn.,,R,mythic,TLE,normal
Iguana Parrot,{2}{U},Creature,"Lizard, Bird, Pirate",,2,2,"Flying, vigilance
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)","Flying, Prowess, Vigilance",U,common,TLA,normal
Imprisoned in the Moon,{2}{U},Enchantment,Aura,,,,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",Enchant,U,mythic,TLE,normal
Inspired Insurgent,{1}{W},Creature,"Human, Peasant, Ally",,2,2,"{1}, Sacrifice this creature: Destroy target artifact or enchantment.",,W,common,TLE,normal
Inspiring Call,{2}{G},Instant,,,,,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",,G,uncommon,TLE,normal
Insurrection,{5}{R}{R}{R},Sorcery,,,,,Untap all creatures and gain control of them until end of turn. They gain haste until end of turn.,,R,mythic,TLE,normal
Intruder Alarm,{2}{U},Enchantment,,,,,"Creatures don't untap during their controllers' untap steps.
Whenever a creature enters, untap all creatures.",,U,mythic,TLE,normal
Invasion Reinforcements,{1}{W},Creature,"Human, Warrior, Ally",,1,1,"Flash
When this creature enters, create a 1/1 white Ally creature token.",Flash,W,uncommon,TLA,normal
Invasion Submersible,{2}{U},Artifact,Vehicle,,0,0,"When this Vehicle enters, return up to one other target nonland permanent to its owner's hand.
Exhaust — Waterbend {3}: This Vehicle becomes an artifact creature. Put three +1/+1 counters on it. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}. Activate each exhaust ability only once.)","Exhaust, Waterbend",U,uncommon,TLA,normal
Invasion Tactics,{4}{G},Enchantment,,,,,"When this enchantment enters, creatures you control get +2/+2 until end of turn.
Whenever one or more Allies you control deal combat damage to a player, draw a card.",,G,uncommon,TLA,normal
"Iroh, Dragon of the West",{2}{R}{R},Creature,"Human, Noble, Ally",Legendary,4,4,"Haste
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
At the beginning of combat on your turn, each creature you control with a counter on it gains firebending 2 until end of turn. (Whenever it attacks, add {R}{R}. This mana lasts until end of combat.)","Mentor, Haste",R,rare,TLE,normal
"Iroh, Firebending Instructor",{2}{R},Creature,"Human, Noble, Ally",Legendary,2,2,"Whenever Iroh attacks, attacking creatures get +1/+1 until end of turn.",,R,uncommon,TLE,normal
"Iroh, Grand Lotus",{3}{G}{U}{R},Creature,"Human, Noble, Ally",Legendary,5,5,"Firebending 2
During your turn, each non-Lesson instant and sorcery card in your graveyard has flashback. The flashback cost is equal to that card's mana cost. (You may cast a card from your graveyard for its flashback cost. Then exile it.)
During your turn, each Lesson card in your graveyard has flashback {1}.",Firebending,"U, R, G",rare,TLA,normal
"Iroh, Tea Master",{1}{R}{W},Creature,"Human, Citizen, Ally",Legendary,2,2,"When Iroh enters, create a Food token.
At the beginning of combat on your turn, you may have target opponent gain control of target permanent you control. When you do, create a 1/1 white Ally creature token. Put a +1/+1 counter on that token for each permanent you own that your opponents control.",Food,"W, R",rare,TLA,normal
